# r   PMF(r)   Fit(r)
1.775000  363.922000  368.159632
1.800000  299.523000  295.561107
1.825000  246.274000  237.859167
1.850000  202.193000  191.852306
1.875000  165.664000  155.055635
1.900000  135.372000  125.533115
1.925000  110.239000  101.770297
1.950000  89.383700  82.577334
1.975000  72.080100  67.014688
2.000000  57.730500  54.335957
2.025000  45.841600  43.943748
2.050000  36.005000  35.355878
2.075000  27.882300  28.180511
2.100000  21.192000  22.100389
2.125000  15.700000  16.867894
2.150000  11.211000  12.312366
2.175000  7.561580  8.354559
2.200000  4.615290  5.007656
2.225000  2.257550  2.335424
2.250000  0.392210  0.370331
2.275000  -0.994373  -0.947691
2.300000  -1.763200  -1.759100
2.325000  -2.192070  -2.224997
2.350000  -2.447730  -2.478573
2.375000  -2.600130  -2.609906
2.400000  -2.683570  -2.672160
2.425000  -2.717040  -2.693514
2.450000  -2.711980  -2.687225
2.475000  -2.675590  -2.658327
2.500000  -2.612580  -2.607639
2.525000  -2.525980  -2.534072
2.550000  -2.417680  -2.435944
2.575000  -2.288700  -2.311746
2.600000  -2.139370  -2.160584
2.625000  -1.969400  -1.982430
2.650000  -1.778020  -1.778230
2.675000  -1.564060  -1.549912
2.700000  -1.326190  -1.300311
2.725000  -1.063480  -1.033028
2.750000  -0.776664  -0.752237
2.775000  -0.470503  -0.462476
2.800000  -0.156576  -0.168411
2.825000  0.149695  0.125378
2.850000  0.441944  0.414594
2.875000  0.719175  0.695381
2.900000  0.980734  0.964440
2.925000  1.226170  1.219101
2.950000  1.455230  1.457341
2.975000  1.667770  1.677770
3.000000  1.863810  1.879581
3.025000  2.043430  2.062468
3.050000  2.206810  2.226547
3.075000  2.354180  2.372252
3.100000  2.485790  2.500246
3.125000  2.601920  2.611336
3.150000  2.702860  2.706402
3.175000  2.788910  2.786337
3.200000  2.860410  2.852009
3.225000  2.917690  2.904230
3.250000  2.961160  2.943742
3.275000  2.991250  2.971212
3.300000  3.008440  2.987238
3.325000  3.013280  2.992351
3.350000  3.006330  2.987033
3.375000  2.988200  2.971725
3.400000  2.959550  2.946842
3.425000  2.921010  2.912784
3.450000  2.873250  2.869945
3.475000  2.816940  2.818722
3.500000  2.752730  2.759522
3.525000  2.681260  2.692763
3.550000  2.603170  2.618881
3.575000  2.519070  2.538326
3.600000  2.429540  2.451567
3.625000  2.335160  2.359085
3.650000  2.236470  2.261377
3.675000  2.134000  2.158948
3.700000  2.028240  2.052313
3.725000  1.919660  1.941992
3.750000  1.808730  1.828505
3.775000  1.695850  1.712372
3.800000  1.581450  1.594108
3.825000  1.465900  1.474218
3.850000  1.349570  1.353199
3.875000  1.232790  1.231533
3.900000  1.115890  1.109687
3.925000  0.999156  0.988107
3.950000  0.882880  0.867221
3.975000  0.767321  0.747432
4.000000  0.652723  0.629121
