#===========================================================================================================
##,####,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025
##,ATOM,  A,  G,  U,  C,2MG,H2U,M2G,OMC,OMG,YYG,PSU,5MC,7MG,5MU,1MA,4OC,UR3,MA6,  I,PYY,CB2,AET,QUO,1MG,FHU
#===========================================================================================================
#phosphate
01, O3', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
01, OP3, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
02,  P , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
03, OP1, o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
04, OP2, o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
05, O5', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
#===========================================================================================================
#sugar
01, C5', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
02, C4', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
03, O4', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
04, C3', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
05, C2', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
06, O2', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
07, C1', o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
08,O2'C, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
09, C1A, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
10, C2A, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
11, O2A, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
12, C3A, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
13, O3A, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
14, C4A, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
15, C5A, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
16, O5A, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
17, P' , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
18, O1X, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
19, O2X, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
20, O3X, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 
#===========================================================================================================
##,####,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025
##,ATOM,  A,  G,  U,  C,2MG,H2U,M2G,OMC,OMG,YYG,PSU,5MC,7MG,5MU,1MA,4OC,UR3,MA6,  I,PYY,CB2,AET,QUO,1MG,FHU
#===========================================================================================================
#base
01, N1 , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , - , o , o , o , o , o , o ,
02, CM1, - , - , - , - , - , - , o , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , o , - , - ,
03, C2 , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
04, N2 , - , o , - , - , o , - , o , - , o , o , - , - , o , - , - , - , - , - , - , - , - , - , o , o , - , - ,
05, O2 , - , - , o , o , - , o , - , o , - , - , o , o , - , o , - , o , o , - , - , - , o , - , - , - , o , - ,
06, CM2, - , - , - , - , o , - , o , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - ,
07, N3 , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , - , o , o , o , o , o , o ,
08, C3 , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - ,
09, C4 , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
10, N4 , - , - , - , o , - , - , - , o , - , - , - , o , - , - , - , o , - , - , - , - , o , - , - , - , - , - ,
#===========================================================================================================
11, O4 , - , - , o , - , - , o , - , - , - , - , o , - , - , o , - , - , o , - , - , - , - , - , - , - , o , - ,
12, C5 , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
13, CM5, - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
14, C5M, - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - ,
15, C6 , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o , o ,
16, N6 , o , - , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , o , - , - , - , o , - , - , - , o ,
17, O6 , - , o , - , - , o , - , o , - , o , o , - , - , o , - , - , - , - , - , o , - , - , - , - , o , o , - ,
18, N7 , o , o , - , - , o , - , o , - , o , o , - , - , o , - , o , - , - , o , o , - , - , o , - , o , - , o ,
19, CM7, - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - ,
20, C8 , o , o , - , - , o , - , o , - , o , o , - , - , o , - , o , - , - , o , o , - , - , o , o , o , - , o ,
#===========================================================================================================
21, N9 , o , o , - , - , o , - , o , - , o , o , - , - , o , - , o , - , - , o , o , - , - , o , o , o , - , o ,
22, C10, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , o , - , - , - , o , o , - , - , o ,
23, C11, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
24, C12, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , o , o , - , - , o ,
25, C13, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , o , o , - , - , o ,
26, C14, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , o , o , - , - , o ,
27, C15, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , o , o , - , - , o ,
28, C16, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , o , - , - , - ,
29, O17, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
30, O18, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
#===========================================================================================================
31, C19, - , - , - , - , - , - , - , - , - , o , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
